Name User,Npo EIN,Npo Name,Email,Stripe Account ID,Stripe Status,Status
"qualdev name ql name",205280757,"DELRAY STRING QUARTET INC",qualdev.npouser@gmail.com,acct_167uD0AWJlRZsQXL,Active,Active
"test test",490336,"EASTSIDE BAPTIST CHURCH",qualdev.test12@gmail.com,acct_16anboLBcDt59kyc,Active,Active
"test test",10363374,"LA MAISON ACADIENNE INC",test1212@mail.com,acct_16anboLBcDt59kyc,Active,Active
"test test",10481058,"WHITE BUFFALO SOCIETY",test5454@gmail.com,acct_16anboLBcDt59kyc,Active,Active
"test test",10677811,"CREATION ADVENTURES MUSEUM INC",qualdev.test123456789@gmail.com,acct_16anboLBcDt59kyc,Active,Active
"qualdev test",10452942,"HAMILTON FOUNDATION",test123456@gmail.com,acct_16anboLBcDt59kyc,Active,Active
"qualdev test",10708148,"FRATERNAL ORDER OF EAGLES",qualdev.test987@gmail.com,acct_16anboLBcDt59kyc,Active,Active
"Fname Lname",10586274,"GRACE HARBOR MINISTRIES INC",qualdev.deepak2@gmail.com,acct_16anboLBcDt59kyc,Active,Active
"test test",10553077,"LINKS OF HOPE INC",test@gmai.com,acct_16anboLBcDt59kyc,Active,Active
"Deepak Sharma",10712492,"TURNING POINT INTERNATIONAL CHURCH INC",qualdev.deepak3@gmail.com,acct_16anboLBcDt59kyc,Active,Active
"qualdev usertype2",10911152,"KRAFT TENNIS PARTNERS INC",qualdev.usertype2@gmail.com,acct_16anboLBcDt59kyc,Active,Active
"qualdev xyz",20539691,"NATIONAL CONTRACT MANAGEMENT ASSOCIATION",qualdev.lxyzabc@mail.com,acct_16anboLBcDt59kyc,Active,Active
"test pqr",10553917,BETHEL,test.pqr@mail.com,acct_16anboLBcDt59kyc,Active,Active
"Deepak Sharma",111990569,"QUARTER CENTURY WIRELESS ASSOCIATION INC",Qualdev.deepak17@gmail.com,,Inactive,Active
"Deepak Sharma",111990569,"QUARTER CENTURY WIRELESS ASSOCIATION INC",Qualdev.deepak18@gmail.com,,Inactive,Active
"Deepak Sharma",111990569,"QUARTER CENTURY WIRELESS ASSOCIATION INC",Qualdev.deepak19@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak20@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak2222@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak22@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak222@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak22@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak22@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak22@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak22@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak22@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak22@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak22@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak22@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak22@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak22@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak22@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak22@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak22@gmail.com,,Inactive,Active
"Deepak Sharma",237049726,"COURTYARD PLAYHOUSE FOUNDATION INC",Qualdev.deepak22@gmail.com,,Inactive,Active
"Deepak Sharma",10694877,"WOMENS THEATRE PROJECT INC",Qualdev.deepak119@gmail.com,,Inactive,Active
"dsaf dsaf",10551879,"KIDS CANCER FOUNDATION INC",testdsaf@gmail.com,,Inactive,Active
"redsf dfsa",10549750,"FLORIDA ASSISTED LIVING AFFILIATION",superadmin@gmail.com,,Inactive,Active
"fundraiser testing",208573044,"ROCK ROAD RESTORATION HISTORICALGROUP INC",testsad@gmail.com,,Inactive,Active
